Título,Año,País,Puntuación Media,Número de Puntuaciones
Coco,2017,Estados Unidos,"8,0",53.853
Joker,2019,Estados Unidos,"8,0",70.822
Parásitos,2019,Corea del Sur,"8,0",61.709
Spider-Man: Cruzando el Multiverso,2023,Estados Unidos,"7,9",10.577
Interstellar,2014,Estados Unidos,"7,9",102.330
Black Mirror: Blanca Navidad (TV),2014,Reino Unido,"7,9",28.993
Cafarnaúm,2018,Líbano,"7,8",8.814
Whiplash,2014,Estados Unidos,"7,8",65.960
Del revés (Inside Out),2015,Estados Unidos,"7,8",81.559
Your Name.,2016,Japón,"7,8",27.107
1917,2019,Reino Unido,"7,7",50.000
El padre,2020,Reino Unido,"7,7",17.071
Relatos salvajes,2014,Argentina,"7,7",67.856
La habitación,2015,Irlanda,"7,7",46.127
As bestas,2022,España,"7,6",31.571
La doncella (The Handmaiden),2016,Corea del Sur,"7,6",16.819
Oppenheimer,2023,Estados Unidos,"7,6",25.535
Spider-Man: Un nuevo universo,2018,Estados Unidos,"7,6",29.345
Tres anuncios en las afueras,2017,Reino Unido,"7,6",52.341
Prisioneros,2013,Estados Unidos,"7,6",61.368
Wolfwalkers,2020,Irlanda,"7,6",5.050
Klaus,2019,España,"7,6",17.897
Green Book,2018,Estados Unidos,"7,6",50.453
El cuento de la princesa Kaguya,2013,Japón,"7,6",9.204
El lobo de Wall Street,2013,Estados Unidos,"7,6",103.265
La canción del mar,2014,Irlanda,"7,6",10.134
Monstruo,2023,Japón,"7,5",1.322
An Elephant Sitting Still,2018,China,"7,5",1.733
Vengadores: Infinity War,2018,Estados Unidos,"7,5",44.463
Mandarinas,2013,Estonia,"7,5",10.146
