Título,Año,País,Puntuación Media,Número de Puntuaciones,Director,Reparto
Coco,2017,Estados Unidos,"8,0",53.853,"Lee Unkrich, Adrián Molina",
Joker,2019,Estados Unidos,"8,0",70.822,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Bill Camp, Shea Whigham, Dante Pereira-Olson"
Parásitos,2019,Corea del Sur,"8,0",61.709,Bong Joon-ho,"Song Kang-ho, Lee Sun-Kyun, Jang Hye-jin, Cho Yeo-jeong, Choi Woo-sik, Park So-dam, Park Seo-joon, Lee Jung-eun"
Spider-Man: Cruzando el Multiverso,2023,Estados Unidos,"7,9",10.577,"Joaquim Dos Santos, Kemp Powers, Justin Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Lauren Vélez, Jake Johnson, Oscar Isaac, Jason Schwartzman"
Interstellar,2014,Estados Unidos,"7,9",102.331,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, David Gyasi, Jessica Chastain, Mackenzie Foy, Matt Damon, Michael Caine, John Lithgow"
Black Mirror: Blanca Navidad (TV),2014,Reino Unido,"7,9",28.993,Carl Tibbetts,"Jon Hamm, Rafe Spall, Rasmus Hardiker, Oona Chaplin, Natalia Tena, Janet Montgomery, Ken Drury, Robin Weaver"
Cafarnaúm,2018,Líbano,"7,8",8.814,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Kawthar Al Haddad, Fadi Kamel Youssef, Cedra Izam, Boluwatife Treasure Bankole, Alaa Chouchnieh, Nour el Husseini"
Whiplash,2014,Estados Unidos,"7,8",65.960,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell, Jayson Blair, Kavita Patil, Kofi Siriboe"
Del revés (Inside Out),2015,Estados Unidos,"7,8",81.559,"Pete Docter, Ronaldo Del Carmen",
Your Name.,2016,Japón,"7,8",27.107,Makoto Shinkai,
1917,2019,Reino Unido,"7,7",50.000,Sam Mendes,"George MacKay, Dean-Charles Chapman, Mark Strong, Richard Madden, Benedict Cumberbatch, Colin Firth, Andrew Scott, Daniel Mays"
El padre,2020,Reino Unido,"7,7",17.071,Florian Zeller,"Anthony Hopkins, Olivia Colman, Imogen Poots, Rufus Sewell, Olivia Williams, Mark Gatiss, Evie Wray, Ayesha Dharker"
Relatos salvajes,2014,Argentina,"7,7",67.856,Damián Szifrón,"Ricardo Darín, Darío Grandinetti, Leonardo Sbaraglia, Érica Rivas, Oscar Martínez, Julieta Zylberberg, Rita Cortese, María Onetto"
La habitación,2015,Irlanda,"7,7",46.127,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Joan Allen, William H. Macy, Megan Park, Amanda Brugel, Sean Bridgers, Joe Pingue"
As bestas,2022,España,"7,6",31.571,Rodrigo Sorogoyen,"Marina Foïs, Denis Ménochet, Luis Zahera, Diego Anido, Marie Colomb, Luisa Merelas, José Manuel Fernández y Blanco, Xavier Estévez"
La doncella (The Handmaiden),2016,Corea del Sur,"7,6",16.819,Park Chan-wook,"Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Moon So-ri, Kim Hae-sook, Lee Yong-nyeo, Lee Dong-hwi, Yoo Min-chae"
Oppenheimer,2023,Estados Unidos,"7,6",25.535,Christopher Nolan,"Cillian Murphy, Emily Blunt, Robert Downey Jr., Matt Damon, Josh Hartnett, Florence Pugh, Jason Clarke, Alden Ehrenreich"
Spider-Man: Un nuevo universo,2018,Estados Unidos,"7,6",29.345,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Lauren Vélez"
Tres anuncios en las afueras,2017,Reino Unido,"7,6",52.341,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, John Hawkes, Peter Dinklage, Caleb Landry Jones, Lucas Hedges, Abbie Cornish"
Prisioneros,2013,Estados Unidos,"7,6",61.368,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano, David Dastmalchian"
Wolfwalkers,2020,Irlanda,"7,6",5.050,"Tomm Moore, Ross Stewart",
Klaus,2019,España,"7,6",17.897,Sergio Pablos,"Quim Gutiérrez, Luis Tosar, Belén Cuesta"
Green Book,2018,Estados Unidos,"7,6",50.453,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Iqbal Theba, Linda Cardellini, Ricky Muse, David Kallaway, Montrel Miller, Harrison Stone"
El cuento de la princesa Kaguya,2013,Japón,"7,6",9.204,Isao Takahata,
El lobo de Wall Street,2013,Estados Unidos,"7,6",103.265,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Kyle Chandler, Cristin Milioti, Rob Reiner, Matthew McConaughey, P.J. Byrne"
La canción del mar,2014,Irlanda,"7,6",10.134,Tomm Moore,
Monstruo,2023,Japón,"7,5",1.322,Hirokazu Koreeda,"Soya Kurokawa, Hiiragi Hinata, Sakura Ando, Eita, Mitsuki Takahata, Akihiro Kakuta, Shido Nakamura, Yûko Tanaka"
An Elephant Sitting Still,2018,China,"7,5",1.733,Hu Bo,"Zhang Yu, Peng Yuchang, Wang Uvin, Li Congxi, He Miaomiao, Yanmanzi Zhu, Zhao Yanguozhang, Dong Xiangrong"
