Título,Año,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Enlace
Coco,2017,Estados Unidos,"8,0",53.862,"Lee Unkrich, Adrián Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor, Jaime Camil, Alfonso Arau",https://www.filmaffinity.com/es/film893369.html
Joker,2019,Estados Unidos,"8,0",70.830,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Bill Camp, Shea Whigham, Dante Pereira-Olson",https://www.filmaffinity.com/es/film520214.html
Parásitos,2019,Corea del Sur,"8,0",61.711,Bong Joon-ho,"Song Kang-ho, Lee Sun-Kyun, Jang Hye-jin, Cho Yeo-jeong, Choi Woo-sik, Park So-dam, Park Seo-joon, Lee Jung-eun",https://www.filmaffinity.com/es/film520465.html
Spider-Man: Cruzando el Multiverso,2023,Estados Unidos,"7,9",10.596,"Joaquim Dos Santos, Kemp Powers, Justin Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Lauren Vélez, Jake Johnson, Oscar Isaac, Jason Schwartzman",https://www.filmaffinity.com/es/film213653.html
Interstellar,2014,Estados Unidos,"7,9",102.334,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, David Gyasi, Jessica Chastain, Mackenzie Foy, Matt Damon, Michael Caine, John Lithgow",https://www.filmaffinity.com/es/film704416.html
Black Mirror: Blanca Navidad (TV),2014,Reino Unido,"7,9",28.993,Carl Tibbetts,"Jon Hamm, Rafe Spall, Rasmus Hardiker, Oona Chaplin, Natalia Tena, Janet Montgomery, Ken Drury, Robin Weaver",https://www.filmaffinity.com/es/film992177.html
Cafarnaúm,2018,Líbano,"7,8",8.814,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Kawthar Al Haddad, Fadi Kamel Youssef, Cedra Izam, Boluwatife Treasure Bankole, Alaa Chouchnieh, Nour el Husseini",https://www.filmaffinity.com/es/film867213.html
Whiplash,2014,Estados Unidos,"7,8",65.962,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell, Jayson Blair, Kavita Patil, Kofi Siriboe",https://www.filmaffinity.com/es/film206955.html
Del revés (Inside Out),2015,Estados Unidos,"7,8",81.559,"Pete Docter, Ronaldo Del Carmen","Amy Poehler, Phyllis Smith, Lewis Black, Bill Hader, Mindy Kaling, Kaitlyn Dias, Richard Kind",https://www.filmaffinity.com/es/film135623.html
Your Name.,2016,Japón,"7,8",27.108,Makoto Shinkai,,https://www.filmaffinity.com/es/film307521.html
